company,official_site,bursa_site,code
7-ELEVEN MALAYSIA HOLDINGS BERHAD,http://www.7eleven.com.my/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=5250,5250
A-RANK BERHAD,http://www.arank.com.my/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=7214,7214
ABLEGROUP BERHAD,http://www.ablegroup.com.my/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=7086,7086
ABM FUJIYA BERHAD,http://www.abmfujiya.com.my/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=5198,5198
ACME HOLDINGS BERHAD,https://www.acmeholdings.com.my/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=7131,7131
ACOUSTECH BERHAD,http://www.acoustech.com.my/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=7120,7120
ADVANCE SYNERGY BERHAD,http://www.asb.com.my/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=1481,1481
ADVANCECON HOLDINGS BERHAD,http://www.advancecon.com.my/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=5281,5281
ADVANCED PACKAGING TECHNOLOGY (M) BHD,http://www.advancedpack.com.my/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=9148,9148
ADVENTA BERHAD,http://www.adventa.com.my/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=7191,7191
AE MULTI HOLDINGS BERHAD,http://www.amallionpcb.com/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=7146,7146
AEON CO. (M) BHD,http://www.aeonretail.com.my/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=6599,6599
AEON CREDIT SERVICE (M) BERHAD,https://www.aeoncredit.com.my/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=5139,5139
AFFIN BANK BERHAD,https://www.affinbank.com.my/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=5185,5185
PRINSIPTEK CORPORATION BERHAD,http://www.prinsiptek.com/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=7145,7145
AHB HOLDINGS BERHAD,http://www.ahb.com.my/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=7315,7315
AHMAD ZAKI RESOURCES BERHAD,http://www.azrb.com/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=7078,7078
AIRASIA GROUP BERHAD,http://www.airasia.com/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=5099,5099
AirAsia X Berhad,http://www.airasiax.com/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=5238,5238
AJINOMOTO (MALAYSIA) BERHAD,http://www.ajinomoto.com.my/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=2658,2658
AJIYA BERHAD,http://www.ajiya.com/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=7609,7609
AL-AQAR HEALTHCARE REIT,http://www.alaqar.com.my/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=5116,5116
AL-SALAM REAL ESTATE INVESTMENT TRUST,http://www.alsalamreit.com.my/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=5269,5269
ALAM MARITIM RESOURCES BERHAD,http://www.alam-maritim.com.my/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=5115,5115
ALCOM GROUP BERHAD,http://www.alcom.com.my/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=2674,2674
ALLIANCE BANK MALAYSIA BERHAD,http://www.alliancebank.com.my/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=2488,2488
ALLIANZ MALAYSIA BERHAD,http://www.allianz.com.my/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=1163,1163
AMALGAMATED INDUSTRIAL STEEL BERHAD,http://www.aisberhad.com.my/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=2682,2682
AMANAH HARTA TANAH PNB,http://www.ahp.com.my/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=4952,4952
AMANAHRAYA REAL ESTATE INVESTMENT TRUST,http://www.arrm.com.my/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=5127,5127
AMCORP PROPERTIES BERHAD,http://www.amcorpproperties.com/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=1007,1007
AME ELITE CONSORTIUM BERHAD,https://ame-elite.com/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=5293,5293
AMFIRST REAL ESTATE INVESTMENT TRUST,http://www.amfirstreit.com.my/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=5120,5120
AMMB HOLDINGS BERHAD,http://www.ambankgroup.com/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=1015,1015
AMTEL HOLDINGS BERHAD,http://www.amtel.com.my/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=7031,7031
AMWAY (MALAYSIA) HOLDINGS BERHAD,http://www.amway2u.com/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=6351,6351
ANALABS RESOURCES BERHAD,http://www.analabs.com.my/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=7083,7083
ANCOM BERHAD,http://www.ancom.com.my/,https://www.bursamalaysia.com/trade/trading_resources/listing_directory/company-profile?stock_code=4758,4758
